name,label_path,duration,split
FEMALE/MIC/F01/MIC_F01_SA1.WAV,FEMALE/REF/F01/ref_F01_sa1.f0,7.99,train
FEMALE/MIC/F01/MIC_F01_SA2.WAV,FEMALE/REF/F01/ref_F01_sa2.f0,7.296,train
FEMALE/MIC/F01/MIC_F01_SI453.WAV,FEMALE/REF/F01/ref_F01_si453.f0,7.39,train
FEMALE/MIC/F01/MIC_F01_SI454.WAV,FEMALE/REF/F01/ref_F01_si454.f0,9.2,train
FEMALE/MIC/F01/MIC_F01_SI455.WAV,FEMALE/REF/F01/ref_F01_si455.f0,7.9,train
FEMALE/MIC/F01/MIC_F01_SI456.WAV,FEMALE/REF/F01/ref_F01_si456.f0,7.64,train
FEMALE/MIC/F01/MIC_F01_SI457.WAV,FEMALE/REF/F01/ref_F01_si457.f0,7.12,train
FEMALE/MIC/F01/MIC_F01_SI458.WAV,FEMALE/REF/F01/ref_F01_si458.f0,7.12,train
FEMALE/MIC/F01/MIC_F01_SI459.WAV,FEMALE/REF/F01/ref_F01_si459.f0,8.91,test
FEMALE/MIC/F01/MIC_F01_SI460.WAV,FEMALE/REF/F01/ref_F01_si460.f0,8.4,train
FEMALE/MIC/F01/MIC_F01_SI461.WAV,FEMALE/REF/F01/ref_F01_si461.f0,7.64,train
FEMALE/MIC/F01/MIC_F01_SI462.WAV,FEMALE/REF/F01/ref_F01_si462.f0,9.93,train
FEMALE/MIC/F01/MIC_F01_SI463.WAV,FEMALE/REF/F01/ref_F01_si463.f0,6.14,test
FEMALE/MIC/F01/MIC_F01_SI464.WAV,FEMALE/REF/F01/ref_F01_si464.f0,8.59,train
FEMALE/MIC/F01/MIC_F01_SI465.WAV,FEMALE/REF/F01/ref_F01_si465.f0,7.14,train
FEMALE/MIC/F01/MIC_F01_SI466.WAV,FEMALE/REF/F01/ref_F01_si466.f0,6.37,train
FEMALE/MIC/F01/MIC_F01_SI467.WAV,FEMALE/REF/F01/ref_F01_si467.f0,8.16,train
FEMALE/MIC/F01/MIC_F01_SI468.WAV,FEMALE/REF/F01/ref_F01_si468.f0,7.4,test
FEMALE/MIC/F01/MIC_F01_SI469.WAV,FEMALE/REF/F01/ref_F01_si469.f0,7.14,train
FEMALE/MIC/F01/MIC_F01_SI470.WAV,FEMALE/REF/F01/ref_F01_si470.f0,6.12,test
FEMALE/MIC/F01/MIC_F01_SI471.WAV,FEMALE/REF/F01/ref_F01_si471.f0,6.12,train
FEMALE/MIC/F01/MIC_F01_SI472.WAV,FEMALE/REF/F01/ref_F01_si472.f0,7.65,train
FEMALE/MIC/F01/MIC_F01_SI473.WAV,FEMALE/REF/F01/ref_F01_si473.f0,6.9,train
FEMALE/MIC/F01/MIC_F01_SI474.WAV,FEMALE/REF/F01/ref_F01_si474.f0,6.62,test
FEMALE/MIC/F01/MIC_F01_SI475.WAV,FEMALE/REF/F01/ref_F01_si475.f0,6.37,train
FEMALE/MIC/F01/MIC_F01_SI476.WAV,FEMALE/REF/F01/ref_F01_si476.f0,9.93,train
